股票代码,股票名称,最新价,今日涨跌额,今日主力净流入净额,今日主力净流入净占比,今日超大单净流入净额,今日超大单净流入净占比,今日大单净流入净额,今日大单净流入净占比,今日中单净流入净额,今日中单净流入净占比,今日小单净流入净额,今日小单净流入净占比
688529,豪森智能,15.94,-2.63,281690.0,0.84,1219837.0,3.65,-938147.0,-2.81,2423860.0,7.26,-2705549.0,-8.1
300012,华测检测,12.56,-1.49,281267.0,0.17,-5649583.0,-3.45,5930850.0,3.63,-13125042.0,-8.02,12843776.0,7.85
301300,远翔新材,24.78,-1.43,278913.0,1.7,-1023827.0,-6.25,1302740.0,7.95,315663.0,1.93,-594576.0,-3.63
605198,安德利,42.21,-10.0,277943.0,0.22,-13551651.0,-10.53,13829594.0,10.75,2398891.0,1.86,-2676833.0,-2.08
301178,天亿马,20.38,-2.58,277326.0,1.17,0.0,0.0,277326.0,1.17,-115553.0,-0.49,-161773.0,-0.68
600137,浪莎股份,13.87,-1.35,275411.0,1.93,0.0,0.0,275411.0,1.93,-1754320.0,-12.27,1478909.0,10.35
688693,锴威特,23.11,-4.23,270357.0,1.32,1337936.0,6.54,-1067579.0,-5.22,687945.0,3.36,-958302.0,-4.68
002516,旷达科技,4.35,-2.03,267563.0,0.61,0.0,0.0,267563.0,0.61,5476169.0,12.57,-5743732.0,-13.18
301115,建科股份,15.76,-1.56,266784.0,2.56,0.0,0.0,266784.0,2.56,-707911.0,-6.79,441128.0,4.23
002622,皓宸医疗,2.13,-1.39,264114.0,0.95,0.0,0.0,264114.0,0.95,-896121.0,-3.22,632008.0,2.27
002686,亿利达,5.0,-1.57,260734.0,1.29,0.0,0.0,260734.0,1.29,1074145.0,5.31,-1334879.0,-6.6
301378,通达海,32.7,-0.03,259353.0,0.62,0.0,0.0,259353.0,0.62,4463572.0,10.74,-4722925.0,-11.37
688455,科捷智能,9.16,-1.4,258900.0,10.35,0.0,0.0,258900.0,10.35,170841.0,6.83,-429741.0,-17.18
301068,大地海洋,22.17,-1.29,254137.0,1.78,0.0,0.0,254137.0,1.78,-1572529.0,-11.01,1318392.0,9.23
688592,司南导航,40.0,-3.5,253935.0,1.2,0.0,0.0,253935.0,1.2,-2876210.0,-13.62,2622275.0,12.41
300908,仲景食品,46.75,-2.56,252739.0,0.55,-1086328.0,-2.36,1339067.0,2.91,691418.0,1.5,-944155.0,-2.05
301353,普莱得,25.61,-1.95,247691.0,2.12,0.0,0.0,247691.0,2.12,-1096670.0,-9.37,848979.0,7.26
600408,安泰集团,2.06,-1.9,245034.0,1.62,1067706.0,7.05,-822672.0,-5.44,248317.0,1.64,-493351.0,-3.26
002627,三峡旅游,4.96,0.4,239203.0,0.56,1479000.0,3.47,-1239797.0,-2.91,1358586.0,3.19,-1597789.0,-3.75
603112,华翔股份,13.54,1.04,236830.0,0.8,-704946.0,-2.37,941776.0,3.16,4665074.0,15.68,-4901904.0,-16.47
301065,本立科技,19.03,-1.25,236759.0,0.71,0.0,0.0,236759.0,0.71,-4099730.0,-12.31,3862971.0,11.59
000007,*ST全新,4.13,0.24,236035.0,2.89,-7640.0,-0.09,243675.0,2.98,52999.0,0.65,-289033.0,-3.54
002344,海宁皮城,3.75,1.08,235640.0,0.8,-1731994.0,-5.91,1967634.0,6.71,229403.0,0.78,-465043.0,-1.59
688337,普源精电,32.38,-2.2,231205.0,0.3,539084.0,0.7,-307879.0,-0.4,-1219275.0,-1.58,988070.0,1.28
002682,龙洲股份,4.32,-0.92,230812.0,0.24,1277612.0,1.33,-1046800.0,-1.09,176724.0,0.18,-407536.0,-0.42
688585,上纬新材,6.49,-2.41,225731.0,3.43,0.0,0.0,225731.0,3.43,277793.0,4.22,-503523.0,-7.65
002663,普邦股份,1.51,-0.66,223051.0,1.44,-875347.0,-5.66,1098398.0,7.1,-466967.0,-3.02,243917.0,1.58
688699,明微电子,28.85,-2.6,221829.0,1.06,-1449787.0,-6.94,1671616.0,8.0,2069071.0,9.9,-2290901.0,-10.97
600773,西藏城投,12.2,-0.16,211886.0,0.32,-265976.0,-0.4,477862.0,0.72,2574934.0,3.88,-2786820.0,-4.19
000823,超声电子,8.07,-1.22,211062.0,0.5,1085400.0,2.59,-874338.0,-2.09,3145741.0,7.52,-3356803.0,-8.02
301112,信邦智能,21.61,-1.68,210958.0,1.25,0.0,0.0,210958.0,1.25,78881.0,0.47,-289839.0,-1.72
600696,岩石股份,11.45,-3.05,209718.0,0.37,-219620.0,-0.38,429338.0,0.75,468231.0,0.82,-677948.0,-1.18
605136,丽人丽妆,7.5,-2.6,207137.0,0.62,-539397.0,-1.62,746534.0,2.24,-257869.0,-0.78,50732.0,0.15
688683,莱尔科技,17.63,-3.77,205071.0,1.54,0.0,0.0,205071.0,1.54,532551.0,3.99,-737621.0,-5.53
603826,坤彩科技,45.8,-1.17,204087.0,0.6,-156144.0,-0.46,360231.0,1.06,3777880.0,11.14,-3981968.0,-11.74
605228,神通科技,11.0,-1.17,199512.0,0.63,462398.0,1.47,-262886.0,-0.84,1111569.0,3.53,-1311081.0,-4.17
002133,广宇集团,2.86,-1.38,197145.0,0.06,-16531781.0,-5.19,16728926.0,5.25,25562459.0,8.02,-25759602.0,-8.08
